                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.64339,                0.71631,                  1.006,                 0.7762,                0.61979,                0.73035,                0.57523,                0.87353,                 1.1726,                 1.1896,             0.00063389,             0.00063389,             0.00063389
                     36,                0.64878,                0.75484,                 1.0165,                0.72166,                0.67164,                0.73208,                0.56289,                0.86538,                 1.1443,                 1.1829,             0.00063153,             0.00063153,             0.00063153
                     37,                0.62689,                0.71544,                 1.0127,                0.76587,                0.73862,                0.76381,                0.58145,                0.81909,                 1.0115,                 1.1195,             0.00062918,             0.00062918,             0.00062918
                     38,                0.64918,                0.70434,                 1.0223,                0.81747,                0.66996,                0.75828,                  0.602,                 0.8173,                0.96354,                 1.1476,             0.00062682,             0.00062682,             0.00062682
                     39,                0.62908,                0.71416,                 1.0089,                0.69754,                0.65926,                0.69134,                0.53638,                0.87787,                 1.1873,                 1.1896,             0.00062446,             0.00062446,             0.00062446
                     40,                0.63407,                0.68889,                 1.0047,                0.71265,                0.63999,                0.70095,                 0.5624,                0.84189,                 1.1374,                 1.1796,             0.00062211,             0.00062211,             0.00062211
                     41,                0.63433,                0.69083,                 1.0119,                0.73121,                0.62061,                0.70871,                0.56601,                0.79895,                 1.1434,                  1.126,             0.00061975,             0.00061975,             0.00061975
                     42,                0.62052,                0.68463,                 1.0017,                0.78308,                0.68875,                0.76403,                 0.6023,                0.80612,                0.96584,                 1.1504,              0.0006174,              0.0006174,              0.0006174
                     43,                0.62943,                0.67122,                 1.0194,                 0.7629,                0.67771,                0.74113,                0.58831,                0.83767,                 1.0539,                 1.1492,             0.00061504,             0.00061504,             0.00061504
                     44,                0.60212,                0.62191,                0.99116,                0.84323,                0.60518,                0.74013,                0.57063,                 0.8529,                 1.1215,                 1.1797,             0.00061268,             0.00061268,             0.00061268
                     45,                0.62442,                0.68041,                 1.0034,                 0.7938,                0.64788,                 0.7356,                0.56863,                0.83683,                 1.0499,                 1.1755,             0.00061033,             0.00061033,             0.00061033
                     46,                0.59663,                0.62101,                0.98464,                0.76882,                0.66047,                0.72776,                0.56745,                0.84679,                 1.2272,                 1.1805,             0.00060797,             0.00060797,             0.00060797
                     47,                0.59823,                0.62439,                0.98719,                0.80189,                0.66921,                0.75304,                0.60021,                0.80564,                 1.0677,                 1.1561,             0.00060561,             0.00060561,             0.00060561
